possible_ticker_count,raw_sector_compound,date,has_observed_news,sector,ticker_coverage_share,observed_ticker_count,signal_window_trading_days,signal_window_actual_trading_days,signal_window_start_date,signal_window_end_date,latest_raw_news_date_used,trailing_coverage_weighted_sentiment,effective_coverage,expanding_prior_mean,expanding_prior_std,expanding_prior_observations,raw_trailing_zscore,clipped_trailing_zscore,coverage_adjusted_zscore,min_history_observations,zscore_clip_bound,zscore_std_ddof,exploratory_method_label
5,0.10897499999999999,2020-01-02,True,Comm,0.8,4,21,0,,,,,0.0,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.06894547619047618,2020-01-02,True,Consumer,1.0,5,21,0,,,,,0.0,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.19246166666666667,2020-01-02,True,Energy,1.0,5,21,0,,,,,0.0,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.10718533333333333,2020-01-02,True,Financials,1.0,5,21,0,,,,,0.0,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.21549047619047618,2020-01-02,True,Healthcare,1.0,5,21,0,,,,,0.0,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.08408,2020-01-02,True,Industrials,1.0,5,21,0,,,,,0.0,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.18291666666666664,2020-01-02,True,Materials,0.6,3,21,0,,,,,0.0,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.018100000000000005,2020-01-02,True,RealEstate,0.4,2,21,0,,,,,0.0,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.07698871794871795,2020-01-02,True,Tech,0.8,4,21,0,,,,,0.0,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.6369,2020-01-02,True,Utilities,0.2,1,21,0,,,,,0.0,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.135575,2020-01-03,True,Comm,0.4,2,21,1,2020-01-02,2020-01-02,2020-01-02,0.10897499999999999,0.0380952380952381,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.21779166666666666,2020-01-03,True,Consumer,0.8,4,21,1,2020-01-02,2020-01-02,2020-01-02,-0.06894547619047618,0.047619047619047616,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.046189727272727285,2020-01-03,True,Energy,1.0,5,21,1,2020-01-02,2020-01-02,2020-01-02,0.19246166666666667,0.047619047619047616,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.08409166666666668,2020-01-03,True,Financials,0.6,3,21,1,2020-01-02,2020-01-02,2020-01-02,0.10718533333333333,0.047619047619047616,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.2093875,2020-01-03,True,Healthcare,0.4,2,21,1,2020-01-02,2020-01-02,2020-01-02,0.21549047619047618,0.047619047619047616,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.1561,2020-01-03,True,Industrials,0.8,4,21,1,2020-01-02,2020-01-02,2020-01-02,0.08408,0.047619047619047616,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.07075000000000001,2020-01-03,True,Materials,0.4,2,21,1,2020-01-02,2020-01-02,2020-01-02,0.18291666666666664,0.02857142857142857,,,0,,,,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
