date,sector,raw_sector_finbert,sector_probability_positive,sector_probability_negative,sector_probability_neutral,observed_ticker_count,headline_count,possible_ticker_count,ticker_coverage_share,has_observed_news,sentiment_model,score_name,text_input_column,text_preprocessing,raw_index_purpose
2020-01-02,Comm,0.15527552263811228,0.18065995943422114,0.02538443679610882,0.7939556224892537,4,11,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-02,Consumer,0.17144245583386644,0.22313037001128705,0.051687914177420545,0.7251817160330358,5,22,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-02,Energy,0.04197897828028847,0.13400329727058607,0.09202431899029755,0.7739724026682475,5,21,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-02,Financials,-0.014055816469093175,0.08980076197534795,0.10385657844444111,0.8063426516453426,5,12,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-02,Healthcare,0.21014744615448372,0.3062864322658805,0.09613898611139679,0.5975745780659574,5,23,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-02,Industrials,0.3057978244870901,0.328974372446537,0.023176547959446854,0.6478490679711103,5,13,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-02,Materials,0.06324103179698189,0.1905938972615533,0.1273528654645714,0.6820532222174936,3,7,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-02,RealEstate,0.17465599556453526,0.2064682319760322,0.031812236411496976,0.7617194950580597,2,3,5,0.4,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-02,Tech,0.20298688590156438,0.30151775404333303,0.09853086814176862,0.5999513616564517,4,25,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-02,Utilities,0.0822541862726211,0.0954738706350326,0.0132196843624114,0.8913064002990723,1,1,5,0.2,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-03,Comm,0.16053963010199362,0.17762159183621404,0.017081961734220323,0.8052964434027672,2,3,5,0.4,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-03,Consumer,0.21243984549073502,0.4394905608302603,0.22705071533952528,0.3334587420492122,4,10,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-03,Energy,-0.09004518452185122,0.13692481163550502,0.22696999615735622,0.6361051920078921,5,28,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-03,Financials,0.02046538159872096,0.18007912921408809,0.15961374761536715,0.6603071273614963,3,8,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-03,Healthcare,0.15867439145222306,0.3250064447056502,0.16633205325342712,0.5086615076288581,2,6,5,0.4,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-03,Industrials,-0.3071953441249207,0.22564499930012968,0.5328403434250504,0.24151465645991263,4,7,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-03,Materials,-0.09960194793529811,0.24725421587936577,0.34685616381466383,0.405889599584043,2,3,5,0.4,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-03,RealEstate,0.14492991421785617,0.17933878095613584,0.034408866738279587,0.7862523992856344,3,5,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-03,Tech,0.15068044839842643,0.26025786596749506,0.10957741756906862,0.6301647008596254,4,17,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-03,Utilities,0.2500947515169779,0.29942526854574675,0.0493305170287688,0.6512442107001941,2,4,5,0.4,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-06,Comm,0.05554671964556388,0.17673184743358028,0.12118512778801634,0.7020830077429613,3,16,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-06,Consumer,0.059496264836486124,0.16541648337882303,0.10592021854233687,0.7286633073822504,5,44,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-06,Energy,0.03128658591092307,0.17123220643931714,0.13994562052839402,0.6888221644584767,5,34,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2020-01-06,Financials,-0.3288740896433592,0.11757146250456567,0.4464455521479249,0.43598297093063587,5,12,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
