base_fund,tilted_fund,decision_date,sector,base_sector_weight,tilted_sector_weight,sector_weight_difference
equity_equal_weight,equity_sentiment_tilt,2021-04-30,Utilities,0.1,0.08972060526296965,-0.01027939473703035
equity_equal_weight,equity_sentiment_tilt,2021-05-28,Comm,0.1,0.09904782525468635,-0.0009521747453136581
equity_equal_weight,equity_sentiment_tilt,2021-05-28,Consumer,0.1,0.11083175231670156,0.010831752316701554
equity_equal_weight,equity_sentiment_tilt,2021-05-28,Energy,0.1,0.09847425719204937,-0.0015257428079506336
equity_equal_weight,equity_sentiment_tilt,2021-05-28,Financials,0.1,0.08960886207119814,-0.010391137928801863
equity_equal_weight,equity_sentiment_tilt,2021-05-28,Healthcare,0.1,0.10171782685499937,0.0017178268549993686
equity_equal_weight,equity_sentiment_tilt,2021-05-28,Industrials,0.1,0.09639849302463552,-0.003601506975364488
equity_equal_weight,equity_sentiment_tilt,2021-05-28,Materials,0.1,0.10512196086880332,0.005121960868803316
equity_equal_weight,equity_sentiment_tilt,2021-05-28,RealEstate,0.1,0.08815175567103185,-0.011848244328968152
equity_equal_weight,equity_sentiment_tilt,2021-05-28,Tech,0.1,0.1046275342983013,0.004627534298301289
equity_equal_weight,equity_sentiment_tilt,2021-05-28,Utilities,0.1,0.10601973244759323,0.006019732447593226
equity_equal_weight,equity_sentiment_tilt,2021-06-30,Comm,0.1,0.10679421062872962,0.006794210628729619
equity_equal_weight,equity_sentiment_tilt,2021-06-30,Consumer,0.1,0.0828782602619521,-0.01712173973804791
equity_equal_weight,equity_sentiment_tilt,2021-06-30,Energy,0.1,0.11638662582884153,0.016386625828841525
equity_equal_weight,equity_sentiment_tilt,2021-06-30,Financials,0.1,0.0982604832725191,-0.0017395167274809054
equity_equal_weight,equity_sentiment_tilt,2021-06-30,Healthcare,0.1,0.09129515019471068,-0.008704849805289322
equity_equal_weight,equity_sentiment_tilt,2021-06-30,Industrials,0.1,0.10688397937985403,0.006883979379854022
equity_equal_weight,equity_sentiment_tilt,2021-06-30,Materials,0.1,0.09218213557625739,-0.007817864423742618
equity_equal_weight,equity_sentiment_tilt,2021-06-30,RealEstate,0.1,0.09093123656006452,-0.009068763439935484
equity_equal_weight,equity_sentiment_tilt,2021-06-30,Tech,0.1,0.11233798159247727,0.01233798159247726
equity_equal_weight,equity_sentiment_tilt,2021-06-30,Utilities,0.1,0.10204993670459393,0.002049936704593927
equity_equal_weight,equity_sentiment_tilt,2021-07-30,Comm,0.1,0.10072297012056639,0.0007229701205663797
equity_equal_weight,equity_sentiment_tilt,2021-07-30,Consumer,0.1,0.10726602735648778,0.007266027356487778
equity_equal_weight,equity_sentiment_tilt,2021-07-30,Energy,0.1,0.09618666997515452,-0.0038133300248454904
equity_equal_weight,equity_sentiment_tilt,2021-07-30,Financials,0.1,0.11297589299749719,0.012975892997497185
equity_equal_weight,equity_sentiment_tilt,2021-07-30,Healthcare,0.1,0.09455377824344342,-0.005446221756556582
equity_equal_weight,equity_sentiment_tilt,2021-07-30,Industrials,0.1,0.10364184576017321,0.003641845760173207
equity_equal_weight,equity_sentiment_tilt,2021-07-30,Materials,0.1,0.10640355778066884,0.006403557780668839
equity_equal_weight,equity_sentiment_tilt,2021-07-30,RealEstate,0.1,0.08472040592035487,-0.015279594079645131
equity_equal_weight,equity_sentiment_tilt,2021-07-30,Tech,0.1,0.09855746175255595,-0.0014425382474440585
