role,fund,asset_family,method,sample_start_date,sample_end_date,observations,rebalance_count,periods_per_year,risk_free_rate_annual,transaction_cost_bps,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown,average_monthly_target_turnover,total_target_turnover,annualised_return_difference_vs_base,annualised_volatility_difference_vs_base,sharpe_ratio_difference_vs_base,maximum_drawdown_difference_vs_base,average_monthly_target_turnover_difference_vs_base,total_target_turnover_difference_vs_base,mean_absolute_sector_exposure_difference,maximum_absolute_sector_exposure_difference,exploratory_method_label,signal_window_trading_days,tilt_strength,zscore_clip_lower,zscore_clip_upper,minimum_expanding_history,final_period_used_for_parameter_selection
base,equity_equal_weight,equity,equal_weight,2021-01-04,2023-12-29,753,36,252,0.0,0.0,0.12643529221978822,0.16166197477746672,0.8173873626510388,-0.20321862626913634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,exploratory robustness extension (fixed 21-day coverage signal),21,0.1,-2.0,2.0,60,False
enhanced,equity_sentiment_21d_coverage_tilt,equity,exploratory_sentiment_21d_coverage_tilt,2021-01-04,2023-12-29,753,36,252,0.0,0.0,0.12409736862405873,0.16178833879471172,0.804039682515843,-0.20370335427123776,0.03131506748297175,1.096027361904011,-0.0023379235957294853,0.0001263640172450009,-0.013347680135195827,-0.00048472800210142,0.03131506748297175,1.096027361904011,0.00522923035422246,0.01956022835935331,exploratory robustness extension (fixed 21-day coverage signal),21,0.1,-2.0,2.0,60,False
