role,fund,asset_family,method,sample_start_date,sample_end_date,observations,rebalance_count,periods_per_year,risk_free_rate_annual,transaction_cost_bps,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown,average_monthly_target_turnover,total_target_turnover,annualised_return_difference_vs_base,annualised_volatility_difference_vs_base,sharpe_ratio_difference_vs_base,maximum_drawdown_difference_vs_base,average_monthly_target_turnover_difference_vs_base,total_target_turnover_difference_vs_base
base,equity_equal_weight,equity,equal_weight,2021-01-04,2023-12-29,753,36,252,0.0,0.0,0.12643529221978822,0.16166197477746672,0.8173873626510388,-0.20321862626913634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enhanced,equity_sentiment_tilt,equity,sentiment_tilt,2021-01-04,2023-12-29,753,36,252,0.0,0.0,0.12545256094680113,0.16158755221503462,0.8122889977874271,-0.2026057520203255,0.04055998605061786,1.4195995117716251,-0.0009827312729870918,-7.442256243209155e-05,-0.005098364863611704,0.0006128742488108463,0.04055998605061786,1.4195995117716251
