role,fund,fund_label,asset_family,method,sample_start_date,sample_end_date,observations,rebalances,periods_per_year,risk_free_rate_pct,transaction_cost_bps,geometric_annual_return_pct,annualised_volatility_pct,sharpe_ratio,maximum_drawdown_pct,average_monthly_target_turnover_pct,annual_return_difference_pct_points,volatility_difference_pct_points,sharpe_difference,drawdown_difference_pct_points,calculation_definition,source_artifact
base,equity_equal_weight,Equity 1/N,equity,equal_weight,2021-01-04,2023-12-29,753,36,252,0.0,0.0,12.6,16.2,0.817,-20.3,0.0,0.0,0.0,0.0,0.0,Matched equity samples and rebalances; geometric return and drawdown use the core definitions; turnover is half the L1 target-weight change; differences are enhanced minus base.,results/tables/fusion_comparison.csv
enhanced,equity_sentiment_tilt,Equity sentiment tilt,equity,sentiment_tilt,2021-01-04,2023-12-29,753,36,252,0.0,0.0,12.5,16.2,0.812,-20.3,4.06,-0.0983,-0.00744,-0.0051,0.0613,Matched equity samples and rebalances; geometric return and drawdown use the core definitions; turnover is half the L1 target-weight change; differences are enhanced minus base.,results/tables/fusion_comparison.csv
